1.79517e+13   0.378291   0.378291   0.378291   0.378292   1.47583e-05   1.19084e-05   4.06787e-06   3.01233e-05   5.21716e-05   8.45136e-05   0.000273801
1.80205e+13   0.380933   0.380932   0.380932   0.380929   4.00257e-05   3.22769e-05   1.10239e-05   8.16224e-05   0.000141059   0.000228103   0.000735454
1.80896e+13   0.380593   0.380593   0.380592   0.38059   8.44419e-05   6.80484e-05   2.32387e-05   0.000172029   0.000296639   0.000478881   0.00153563
1.81589e+13   0.377025   0.377025   0.377024   0.377024   0.000156643   0.000126139   4.30712e-05   0.000318785   0.000548385   0.000883702   0.00281737
1.82284e+13   0.373137   0.373138   0.373138   0.373139   0.000273471   0.000220041   7.51251e-05   0.000555925   0.000954042   0.00153464   0.00486487
1.82983e+13   0.368729   0.36873   0.368731   0.368733   0.000459134   0.000369124   0.000126007   0.000932267   0.00159606   0.00256275   0.00807378
1.83684e+13   0.365793   0.365793   0.365793   0.365794   0.00075653   0.000607701   0.000207419   0.00153429   0.0026201   0.00419919   0.0131471
1.84388e+13   0.363341   0.363341   0.363341   0.363342   0.00122773   0.000985388   0.000336281   0.00248701   0.0042359   0.0067757   0.0210813
1.85094e+13   0.36198   0.36198   0.36198   0.361981   0.00199045   0.00159645   0.000544745   0.004028   0.00684396   0.010927   0.0337932
1.85803e+13   0.361136   0.361136   0.361137   0.361138   0.0032082   0.00257144   0.000877339   0.00648616   0.0109963   0.0175238   0.0538949
1.86515e+13   0.360636   0.360636   0.360637   0.360637   0.00514942   0.0041252   0.00140732   0.0104025   0.0176054   0.028009   0.0857412
1.8723e+13   0.360132   0.360132   0.360132   0.360133   0.00821938   0.0065814   0.00224505   0.016592   0.028029   0.044532   0.135876
1.87947e+13   0.359506   0.359506   0.359506   0.359507   0.0131318   0.010509   0.00358444   0.0264885   0.0446774   0.0708954   0.21591
1.88667e+13   0.358978   0.358978   0.358979   0.358979   0.0208144   0.0166453   0.00567673   0.0419442   0.0706074   0.111892   0.340918
1.8939e+13   0.35826   0.35826   0.35826   0.35826   0.0326935   0.0261247   0.00890834   0.0658106   0.110546   0.175013   0.520749
1.90116e+13   0.357591   0.357591   0.357591   0.357591   0.0514212   0.0410611   0.0139998   0.103407   0.173393   0.27434   0.743152
1.90844e+13   0.356937   0.356937   0.356937   0.356937   0.0809641   0.0646234   0.0220313   0.162714   0.272724   0.425672   0.98418
1.91575e+13   0.356169   0.356169   0.356169   0.356169   0.12758   0.101757   0.0346866   0.256116   0.418144   0.619954   1.21154
1.92309e+13   0.355372   0.355372   0.355372   0.355372   0.200533   0.157742   0.0536111   0.39432   0.60092   0.839871   1.39921
1.93046e+13   0.354624   0.354624   0.354624   0.354623   0.295937   0.226726   0.0767235   0.561202   0.793799   1.04874   1.5115
1.93786e+13   0.353732   0.353732   0.353732   0.353731   0.402739   0.300571   0.101288   0.737049   0.973146   1.21968   1.55886
1.94528e+13   0.352833   0.352833   0.352832   0.352832   0.509048   0.370762   0.124464   0.90148   1.11523   1.33448   1.57966
1.95274e+13   0.352084   0.352084   0.352083   0.352082   0.597239   0.425115   0.142177   1.02511   1.19808   1.38487   1.57689
1.96022e+13   0.351503   0.351503   0.351502   0.3515   0.66313   0.463059   0.154405   1.10932   1.24673   1.41279   1.56707
1.96773e+13   0.356424   0.356423   0.356421   0.356414   0.710181   0.489612   0.162957   1.16835   1.28486   1.44542   1.55203
1.97527e+13   0.365127   0.365125   0.365122   0.365112   0.767662   0.525537   0.17474   1.25121   1.35863   1.51562   1.53462
1.98284e+13   0.36158   0.361579   0.361579   0.361577   0.780771   0.532759   0.177049   1.26711   1.36403   1.50382   1.39937
1.99043e+13   0.351901   0.351901   0.351902   0.351903   0.772465   0.524962   0.174312   1.24617   1.31997   1.43163   1.18937
1.99806e+13   0.342557   0.342557   0.342558   0.34256   0.741114   0.50081   0.166094   1.18588   1.22891   1.2979   0.9419
2.00571e+13   0.336977   0.336978   0.336979   0.336983   0.710603   0.476367   0.15776   1.12465   1.13626   1.1588   0.716942
2.0134e+13   0.333838   0.333838   0.333838   0.33384   0.669248   0.444833   0.147025   1.046   1.01832   0.991983   0.513255
2.02111e+13   0.33214   0.33214   0.33214   0.33214   0.623684   0.40977   0.135057   0.958189   0.889286   0.819032   0.349309
2.02886e+13   0.33096   0.33096   0.33096   0.330961   0.576225   0.372354   0.12223   0.863855   0.754268   0.651861   0.230034
2.03663e+13   0.329017   0.329017   0.329018   0.329019   0.519322   0.327668   0.106934   0.751852   0.60947   0.491154   0.148117
2.04443e+13   0.326616   0.326617   0.326617   0.326619   0.457518   0.279188   0.0904077   0.631513   0.46909   0.34995   0.0940878
2.05227e+13   0.323482   0.323483   0.323484   0.323486   0.394489   0.230676   0.0739889   0.512831   0.345632   0.239144   0.0596474
2.06013e+13   0.32045   0.32045   0.32045   0.320451   0.327926   0.182257   0.0578082   0.397164   0.24161   0.156662   0.0373412
2.06802e+13   0.316689   0.316689   0.31669   0.316693   0.265306   0.139234   0.0436362   0.297099   0.164146   0.101973   0.0234364
2.07595e+13   0.313454   0.313455   0.313455   0.313458   0.208801   0.102892   0.0318519   0.214973   0.109928   0.0667968   0.0149216
2.0839e+13   0.311022   0.311022   0.311023   0.311025   0.158154   0.0727828   0.0222532   0.148953   0.07238   0.043475   0.00950704
2.09188e+13   0.30963   0.309631   0.309631   0.309634   0.117976   0.0507987   0.0153711   0.102231   0.0481514   0.0287205   0.00619872
2.0999e+13   0.308101   0.308101   0.308102   0.308105   0.0849956   0.034513   0.0103731   0.0687577   0.031804   0.0188872   0.00403796
